Name,Financial Year,Month,All India Total ,All India Public ,All India Private,All India Urban ,All India Rural,A & N IslandsTotal ,A & N Islands Public [A],A & N Islands Private [B],A & N Islands Urban [C],A & N Islands Rural [D],Andhra Pradesh Total [(A+B) or (C+D)],Andhra Pradesh Public [A],Andhra Pradesh Private [B],Andhra Pradesh Urban [C],Andhra Pradesh Rural [D],Arunachal Pradesh Total [(A+B) or (C+D)],Arunachal Pradesh Public [A],Arunachal PradeshPrivate [B],Arunachal Pradesh Urban [C],Arunachal Pradesh Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
Number of Condom pieces distributed,2019-2020,march,27029318,26393865,635453,4461911,22567407,9251,9251,,690,8561,1858471,1858471,0,101320,1757151,4771,4771,0,24,4747,364590,357458,7132,12264,352326,1000570,839120,161450,89215,911355,119135,119135,,114620,4515,404816,404526,290,24395,380421,99738,99738,,52429,47309,14209,14209,0,1552,12657,384502,383654,848,319734,64768,35955,35384,571,2135,33820,1997240,1905939,91301,553680,1443560,1405838,1281069,124769,292363,1113475,332680,331378,1302,1247,331433,235765,235299,466,13818,221947,726018,717604,8414,18239,707779,1372633,1325873,46760,224900,1147733,136511,135015,1496,23061,113450,1891,1891,,,1891,,,,,,,,,,,1955946,1940250,15696,245389,1710557,1392477,1286919,105558,533798,858679,8495,8495,,122,8373,21259,21259,0,1355,19904,9603,9603,0,2829,6774,5721,4441,1280,1592,4129,681023,680743,280,46798,634225,82861,82826,35,49470,33391,1869715,1841128,28587,345632,1524083,3206130,3204610,1520,302670,2903460,20638,20638,,1752,18886,441248,433398,7850,107590,333658,368784,368784,0,48439,320345,13928,13928,0,1520,12408,4043902,4042188,1714,745645,3298257,69440,69440,,9436,60004,2333564,2305430,28134,172188,2161376
Number of Centchroman (weekly) pill strips distributed,2019-2020,march,419618,413592,6026,73080,346538,12,12,,0,12,13900,13900,0,400,13500,199,199,0,4,195,8800,8741,59,265,8535,40884,40884,0,4069,36815,164,164,,80,84,10977,10157,820,1816,9161,520,520,,211,309,73,73,0,0,73,4922,4902,20,3086,1836,165,165,0,15,150,16409,16409,0,8400,8009,7473,7473,0,1140,6333,806,804,2,0,806,3140,3140,0,166,2974,28342,23725,4617,7232,21110,17417,17379,38,2094,15323,485,474,11,49,436,4,4,,,4,,,,,,,,,,,27504,27435,69,5203,22301,16274,16057,217,5497,10777,87,87,,0,87,428,428,0,1,427,5,5,0,0,5,49,46,3,3,46,5681,5681,0,447,5234,3709,3709,0,3612,97,8511,8511,0,1192,7319,16253,16253,0,2813,13440,464,464,,0,464,14739,14660,79,3548,11191,5652,5652,0,442,5210,123,123,,7,116,96501,96441,60,16741,79760,1599,1599,0,100,1499,67347,67316,31,4447,62900
Number of Emergency Contraceptive Pills (ECP) given,2019-2020,march,258353,257169,1184,31853,226500,25,25,,0,25,1129,1129,0,151,978,625,625,0,6,619,3647,3602,45,319,3328,24676,24653,23,2431,22245,197,197,,186,11,1897,1667,230,341,1556,7,7,,0,7,23,23,0,1,22,2216,2189,27,1998,218,54,54,0,10,44,3967,3967,0,679,3288,3367,3331,36,426,2941,1769,1759,10,0,1769,4950,4950,0,339,4611,18945,18868,77,548,18397,1525,1513,12,258,1267,970,959,11,57,913,14,14,,,14,,,,,,,,,,,7962,7923,39,1709,6253,2948,2865,83,544,2404,384,384,,23,361,140,140,0,35,105,132,132,0,21,111,210,128,82,82,128,4435,4435,0,474,3961,373,373,0,266,107,5107,5107,0,1440,3667,11239,11239,0,1323,9916,17,17,,0,17,2022,1982,40,633,1389,1861,1861,0,172,1689,363,363,0,39,324,144123,144061,62,16374,127749,1452,1452,0,317,1135,5582,5175,407,651,4931
Number of Pregnancy Test Kits (PTK) used,2019-2020,march,1418049,1403592,14457,178835,1239214,298,298,,15,283,60146,60146,0,6862,53284,1501,1490,11,21,1480,32011,31115,896,1221,30790,77795,77795,0,8619,69176,2430,2430,,1983,447,28845,28495,350,3065,25780,1371,1371,,121,1250,742,742,0,0,742,13841,12990,851,11508,2333,1745,1740,5,20,1725,109927,109510,417,18483,91444,30446,29387,1059,4171,26275,10418,10250,168,67,10351,13219,13195,24,768,12451,46360,45483,877,1558,44802,67711,63593,4118,12157,55554,20892,19937,955,1230,19662,222,222,,,222,,,,,,,,,,,128830,127542,1288,15638,113192,96553,94442,2111,17308,79245,1308,1308,0,8,1300,5336,5310,26,201,5135,1369,1360,9,306,1063,630,554,76,102,528,42950,42795,155,3754,39196,1355,1355,0,389,966,24368,24356,12,4120,20248,56224,56224,0,10759,45465,600,600,,39,561,63631,63551,80,12012,51619,29689,29689,0,4406,25283,2427,2427,0,210,2217,284453,284234,219,26279,258174,3860,3860,0,658,3202,154546,153796,750,10777,143769
Complications following male sterilization,2019-2020,march,312,312,0,71,241,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,8,0,0,,0,0,23,23,0,0,23,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,32,32,0,0,32,2,2,0,0,2,13,13,0,0,13,0,0,,,0,,,,,,,,,,,44,44,0,4,40,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,84,84,0,67,17,0,0,,0,0,79,79,0,0,79,1,1,0,0,1,24,24,0,0,24
Complications following female sterilization,2019-2020,march,626,626,0,51,575,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,37,37,0,0,37,0,0,,0,0,18,18,0,9,9,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,0,23,45,17,17,0,0,17,1,1,0,0,1,0,0,0,0,0,41,41,0,0,41,15,15,0,0,15,4,4,0,0,4,0,0,,,0,,,,,,,,,,,129,129,0,13,116,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,28,28,0,0,28,1,1,0,0,1,4,4,0,1,3,22,22,0,0,22,0,0,,0,0,0,0,0,0,0,29,29,0,0,29,0,0,,0,0,121,121,0,4,117,23,23,0,0,23,58,58,0,1,57
Failures following male sterilization,2019-2020,march,4,4,0,0,4,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Failures following female sterilization,2019-2020,march,174,168,6,22,152,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,8,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,4,0,0,4,0,0,,,0,,,,,,,,,,,5,2,3,0,5,47,47,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,2,2,0,0,2,0,0,0,0,0,33,33,0,10,23,0,0,,0,0,55,53,2,10,45,0,0,0,0,0,1,1,,0,1,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0
Deaths following male sterilization,2019-2020,march,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaths following female sterilization,2019-2020,march,2,2,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,0,0,0,0,0,2,2,0,0,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Child immunisation - Vitamin K1 (Birth Dose),2019-2020,march,1040391,835807,204584,222194,818197,71,71,,0,71,40001,19554,20447,24825,15176,647,473,174,0,647,32807,29719,3088,1622,31185,74474,74352,122,5415,69059,2038,2038,,552,1486,22767,19101,3666,3805,18962,722,722,,0,722,253,253,0,0,253,12443,10150,2293,2621,9822,1194,891,303,186,1008,70378,44884,25494,25086,45292,22336,18167,4169,5021,17315,6105,5466,639,0,6105,14510,13761,749,770,13740,34342,29441,4901,2243,32099,57615,43101,14514,17537,40078,27948,10619,17329,4583,23365,74,74,,,74,,,,,,,,,,,86848,81673,5175,15984,70864,92961,58335,34626,17123,75838,1681,1382,299,112,1569,3705,2763,942,0,3705,958,911,47,22,936,368,176,192,151,217,39788,35575,4213,720,39068,2447,1821,626,1678,769,12908,10787,2121,2793,10115,58115,53136,4979,15220,42895,173,173,,0,173,69283,35561,33722,42271,27012,20264,14687,5577,8832,11432,797,755,42,152,645,161139,149810,11329,2525,158614,5145,4664,481,1676,3469,63086,60761,2325,18669,44417
Child immunisation - BCG,2019-2020,march,1771700,1570641,201059,351580,1420120,211,211,,0,211,48658,34721,13937,21648,27010,1512,1455,57,62,1450,46168,42474,3694,2491,43677,171431,168512,2919,17195,154236,1892,1892,,574,1318,46861,42252,4609,5819,41042,686,647,39,41,645,385,385,0,62,323,17418,14819,2599,4619,12799,1286,1044,242,188,1098,88234,77417,10817,25979,62255,37923,31022,6901,10205,27718,7057,6508,549,3,7054,18965,17993,972,1321,17644,54797,46457,8340,3221,51576,80632,63446,17186,24523,56109,33502,13689,19813,6083,27419,59,59,,,59,,,,,,,,,,,105321,99445,5876,19489,85832,138338,121665,16673,33674,104664,2123,1946,177,115,2008,7497,6639,858,20,7477,1147,1093,54,175,972,1500,1293,207,185,1315,45160,43289,1871,1193,43967,2441,1815,626,1678,763,24097,21680,2417,5496,18601,98716,82595,16121,33523,65193,525,419,106,242,283,70032,38717,31315,40470,29562,50172,36238,13934,18001,32171,3349,3214,135,291,3058,467858,453256,14602,49465,418393,13351,12432,919,1973,11378,82396,79902,2494,21556,60840
Child immunisation - DPT1,2019-2020,march,6307,5316,991,2381,3926,2,2,,0,2,53,53,0,17,36,10,10,,0,10,0,0,0,0,0,14,14,0,7,7,4,4,,4,0,56,56,0,0,56,0,0,0,0,0,0,0,0,0,0,744,148,596,467,277,2,2,0,0,2,217,175,42,57,160,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,142,142,0,4,138,424,328,96,82,342,97,71,26,3,94,6,6,,,6,,,,,,,,,,,106,101,5,70,36,0,0,0,0,0,0,0,,,0,40,40,0,1,39,8,8,0,0,8,0,0,0,0,0,0,0,,,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,176,161,15,57,119,52,1,51,42,10,3869,3709,160,1407,2462,20,20,,0,20,161,161,0,159,2
Child immunisation - DPT2,2019-2020,march,4703,3992,711,1663,3040,0,0,,0,0,19,19,0,17,2,18,18,,0,18,0,0,0,0,0,25,25,0,3,22,2,2,,2,0,11,11,0,0,11,0,0,0,0,0,0,0,0,0,0,491,122,369,318,173,2,2,0,0,2,161,132,29,39,122,71,71,0,0,71,0,0,0,0,0,0,0,0,0,0,41,41,0,3,38,136,100,36,28,108,81,71,10,5,76,0,0,,,0,,,,,,,,,,,101,98,3,77,24,0,0,0,0,0,0,0,,,0,59,59,0,5,54,14,14,0,0,14,0,0,0,0,0,0,0,,,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,219,84,135,35,184,49,2,47,42,7,3158,3076,82,1064,2094,10,10,,0,10,33,33,0,23,10
Child immunisation - DPT3,2019-2020,march,5513,4518,995,1868,3645,2,2,,0,2,25,25,0,15,10,4,4,,2,2,0,0,0,0,0,39,27,12,3,36,2,2,,2,0,13,13,0,0,13,0,0,0,0,0,0,0,0,0,0,416,75,341,271,145,3,3,0,0,3,157,122,35,62,95,31,31,0,1,30,0,0,0,0,0,0,0,0,0,0,110,110,0,4,106,349,323,26,106,243,72,57,15,0,72,0,0,,,0,,,,,,,,,,,90,89,1,49,41,0,0,0,0,0,0,0,,,0,38,38,0,8,30,4,4,0,0,4,0,0,0,0,0,0,0,,,0,0,0,0,0,0,5,5,0,3,2,0,0,0,0,0,0,0,,0,0,29,29,0,0,29,789,363,426,194,595,64,9,55,42,22,3215,3131,84,1091,2124,30,30,,1,29,26,26,0,14,12
Child immunisation - Pentavalent 1,2019-2020,march,1835121,1782227,52894,327233,1507888,222,222,,32,190,56400,55456,944,11342,45058,1741,1706,35,130,1611,44771,42993,1778,2412,42359,187512,186919,593,22497,165015,994,994,,841,153,50721,47981,2740,8603,42118,583,547,36,150,433,265,265,0,92,173,17545,16860,685,14645,2900,1265,1215,50,223,1042,91183,89382,1801,28517,62666,39848,37310,2538,10928,28920,7813,7802,11,48,7765,19918,19660,258,1630,18288,57104,51734,5370,3442,53662,82675,77295,5380,19890,62785,25307,22279,3028,2797,22510,63,63,,,63,,,,,,,,,,,131915,130009,1906,18209,113706,135071,126978,8093,42464,92607,2673,2631,42,84,2589,7526,7326,200,310,7216,1679,1677,2,582,1097,1514,1405,109,169,1345,52924,52575,349,3664,49260,908,895,13,544,364,26374,25986,388,6715,19659,88930,84717,4213,16774,72156,576,554,22,104,472,71884,64541,7343,23947,47937,48249,47620,629,14911,33338,3684,3675,9,205,3479,451186,447406,3780,59193,391993,13788,13559,229,1977,11811,110310,109990,320,9162,101148
Child immunisation - Pentavalent 2,2019-2020,march,1923451,1876508,46943,334849,1588602,250,250,,41,209,59919,59031,888,11730,48189,1732,1695,37,129,1603,47334,45372,1962,2620,44714,205848,205080,768,24376,181472,910,910,,839,71,49189,47670,1519,7365,41824,637,614,23,162,475,272,272,0,82,190,18405,17919,486,16092,2313,1348,1315,33,224,1124,97487,95630,1857,29629,67858,43320,40534,2786,11736,31584,8494,8477,17,54,8440,18792,18557,235,1643,17149,58561,53434,5127,3464,55097,83596,78349,5247,19855,63741,27055,25105,1950,2651,24404,74,74,,,74,,,,,,,,,,,135254,133687,1567,17645,117609,140667,133115,7552,44754,95913,2736,2702,34,107,2629,7550,7408,142,334,7216,1870,1868,2,587,1283,1575,1462,113,173,1402,62331,62012,319,4398,57933,1026,1018,8,592,434,28257,27922,335,6835,21422,95264,91379,3885,16613,78651,653,619,34,100,553,73200,67730,5470,22735,50465,49461,49005,456,15267,34194,3853,3848,5,240,3613,457168,453603,3565,59506,397662,13763,13524,239,1896,11867,125600,125318,282,10375,115225
Child immunisation - Pentavalent 3,2019-2020,march,1973478,1922910,50568,343129,1630349,209,209,,38,171,64012,62636,1376,13186,50826,1611,1590,21,125,1486,46028,44310,1718,2617,43411,200930,200221,709,23838,177092,980,980,,891,89,51454,50673,781,6830,44624,1024,985,39,222,802,308,308,0,94,214,18157,17670,487,16033,2124,1612,1560,52,297,1315,103224,101227,1997,30126,73098,41203,38121,3082,11551,29652,8112,8090,22,41,8071,18332,18130,202,1629,16703,58611,53023,5588,3849,54762,85749,80793,4956,19993,65756,27762,26003,1759,2472,25290,67,67,,,67,,,,,,,,,,,142348,140870,1478,17992,124356,148949,140931,8018,47362,101587,2601,2562,39,85,2516,7135,6915,220,338,6797,1956,1955,1,613,1343,1474,1367,107,158,1316,56542,56266,276,4091,52451,1061,1052,9,576,485,27445,27156,289,6799,20646,95864,92067,3797,16530,79334,636,613,23,90,546,76903,71596,5307,23286,53617,51680,51156,524,15632,36048,3689,3677,12,269,3420,489790,482634,7156,62868,426922,14133,13954,179,1959,12174,121887,121543,344,10649,111238
Child immunisation - OPV 0 (Birth Dose),2019-2020,march,1373442,1146770,226672,302485,1070957,259,259,,0,259,48847,28096,20751,28581,20266,1327,1204,123,62,1265,30135,27072,3063,1535,28600,121767,118949,2818,11748,110019,1888,1888,,568,1320,37085,32492,4593,5658,31427,476,431,45,47,429,260,260,0,0,260,15770,13248,2522,3012,12758,1170,977,193,164,1006,79780,64037,15743,25946,53834,32429,25319,7110,8884,23545,6345,5797,548,0,6345,18123,17133,990,1322,16801,38391,30414,7977,2764,35627,69555,50933,18622,23047,46508,32456,13214,19242,5526,26930,70,70,,,70,,,,,,,,,,,95739,89901,5838,18407,77332,120976,94470,26506,27440,93536,1953,1673,280,75,1878,4586,3712,874,5,4581,989,935,54,33,956,985,815,170,117,868,41551,39759,1792,1069,40482,2441,1815,626,1678,763,21081,18176,2905,4133,16948,78490,62261,16229,32038,46452,515,409,106,242,273,70409,39539,30870,40574,29835,47223,30907,16316,18136,29087,2868,2795,73,225,2643,266310,250226,16084,17493,248817,9681,8536,1145,1882,7799,71512,69048,2464,20074,51438
Child immunisation - OPV1,2019-2020,march,1834853,1782666,52187,324777,1510076,210,210,,32,178,56475,55531,944,11470,45005,1734,1699,35,130,1604,44925,43111,1814,2436,42489,188161,187568,593,22473,165688,998,998,,845,153,50417,47954,2463,8318,42099,583,547,36,150,433,263,263,0,92,171,17848,16984,864,14738,3110,1262,1212,50,223,1039,92063,89393,2670,28503,63560,39587,37209,2378,10752,28835,7813,7802,11,48,7765,19889,19631,258,1630,18259,56957,51628,5329,3322,53635,82036,76527,5509,19806,62230,25305,22291,3014,2787,22518,60,60,,,60,,,,,,,,,,,132316,130387,1929,18040,114276,134273,126313,7960,42416,91857,2662,2621,41,85,2577,7486,7320,166,311,7175,1675,1673,2,582,1093,1497,1400,97,157,1340,52865,52495,370,3689,49176,908,895,13,544,364,26388,26000,388,6719,19669,88871,84349,4522,16894,71977,572,550,22,104,468,71010,64917,6093,22758,48252,47757,47371,386,14796,32961,3729,3682,47,247,3482,451413,447797,3616,58281,393132,14010,13749,261,2184,11826,110835,110529,306,9215,101620
Child immunisation - OPV2,2019-2020,march,1924742,1877691,47051,337482,1587260,239,239,,41,198,60007,59119,888,11709,48298,1733,1696,37,129,1604,47222,45242,1980,2627,44595,207949,207184,765,24422,183527,911,911,,840,71,49160,47708,1452,7300,41860,637,614,23,162,475,272,272,0,82,190,18515,17887,628,16153,2362,1345,1312,33,224,1121,97320,95451,1869,29603,67717,43177,40549,2628,11558,31619,8494,8477,17,54,8440,18779,18544,235,1643,17136,58867,53679,5188,3512,55355,83091,77758,5333,19724,63367,27041,25108,1933,2635,24406,74,74,,,74,,,,,,,,,,,135159,133595,1564,17500,117659,144312,136771,7541,48366,95946,2741,2707,34,106,2635,7537,7424,113,339,7198,1876,1874,2,587,1289,1555,1456,99,164,1391,62347,62031,316,4399,57948,1016,1008,8,587,429,28253,27918,335,6832,21421,95301,91178,4123,16783,78518,653,619,34,100,553,73275,67806,5469,22734,50541,49267,48797,470,15111,34156,3883,3834,49,282,3601,452765,449387,3378,58765,394000,13722,13497,225,1902,11820,126247,125965,282,10507,115740
Child immunisation - OPV3,2019-2020,march,1967192,1919045,48147,341996,1625196,205,205,,38,167,63587,62268,1319,12997,50590,1614,1593,21,128,1486,46356,44373,1983,2623,43733,201036,200322,714,24086,176950,979,979,,890,89,52498,50527,1971,8024,44474,1024,985,39,222,802,308,308,0,94,214,18331,17681,650,16155,2176,1606,1554,52,297,1309,103564,101689,1875,30272,73292,41206,38110,3096,11567,29639,8112,8090,22,41,8071,18449,18247,202,1629,16820,58945,53599,5346,3739,55206,84970,80069,4901,19794,65176,27797,26046,1751,2476,25321,67,67,,,67,,,,,,,,,,,142038,140561,1477,17674,124364,148701,140655,8046,47215,101486,2588,2549,39,85,2503,7105,6917,188,333,6772,1948,1947,1,613,1335,1464,1362,102,154,1310,56628,56323,305,4119,52509,1106,1097,9,616,490,27457,27168,289,6808,20649,95767,91767,4000,16600,79167,647,614,33,90,557,77144,71554,5590,23479,53665,51171,50561,610,15257,35914,3718,3676,42,311,3407,482929,480018,2911,61300,421629,14210,13994,216,1959,12251,121917,121570,347,10311,111606
Child immunisation - Hepatitis-B0 (Birth Dose),2019-2020,march,1153949,933509,220440,257727,896222,262,262,,0,262,44764,22283,22481,28381,16383,1222,1048,174,0,1222,27463,25045,2418,1439,26024,103202,100539,2663,8447,94755,1761,1761,,562,1199,25231,22611,2620,2962,22269,466,428,38,38,428,249,249,0,0,249,15505,13098,2407,2715,12790,1213,929,284,173,1040,67443,46671,20772,22035,45408,27850,20199,7651,8636,19214,5954,5406,548,0,5954,17182,16257,925,1169,16013,31425,24652,6773,1211,30214,64678,46427,18251,21524,43154,28086,10784,17302,5350,22736,67,67,,,67,,,,,,,,,,,89565,85157,4408,16360,73205,82908,57027,25881,18645,64263,1897,1640,257,138,1759,3839,3041,798,0,3839,958,915,43,33,925,847,670,177,128,719,38115,36534,1581,929,37186,2441,1815,626,1678,763,18469,14748,3721,4058,14411,72979,57511,15468,29276,43703,502,402,100,240,262,70253,39051,31202,40772,29481,43268,26133,17135,16007,27261,2751,2720,31,177,2574,189442,179824,9618,2903,186539,6871,5949,922,1750,5121,64821,61656,3165,19991,44830
Child immunisation - Hepatitis-B1,2019-2020,march,6897,5312,1585,2395,4502,0,0,,0,0,170,170,0,11,159,0,0,,0,0,4,0,4,4,0,179,179,0,34,145,92,92,,0,92,18,18,0,0,18,0,0,,0,0,0,0,0,0,0,514,149,365,359,155,1,1,0,0,1,114,65,49,49,65,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,98,98,0,0,98,1192,292,900,725,467,105,19,86,0,105,0,0,,,0,,,,,,,,,,,1198,1196,2,475,723,0,0,0,0,0,0,0,,,0,30,29,1,0,30,0,0,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,,0,0,24,24,0,0,24,354,354,0,290,64,0,0,0,0,0,2727,2549,178,419,2308,23,23,0,0,23,44,44,0,29,15
Child immunisation - Hepatitis-B2,2019-2020,march,4421,3654,767,1636,2785,1,1,,0,1,128,128,0,13,115,0,0,,0,0,2,0,2,2,0,152,152,0,25,127,2,2,,0,2,16,16,0,0,16,0,0,,0,0,0,0,0,0,0,452,147,305,320,132,1,1,0,0,1,81,23,58,58,23,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,82,82,0,0,82,403,186,217,61,342,40,12,28,0,40,0,0,,,0,,,,,,,,,,,534,532,2,443,91,0,0,0,0,0,0,0,,,0,15,15,0,0,15,0,0,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,8,8,0,0,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,256,256,0,227,29,9,0,9,0,9,2203,2057,146,470,1733,13,13,0,0,13,17,17,0,17,0
Child immunisation - Hepatitis-B3,2019-2020,march,5216,4691,525,1931,3285,0,0,,0,0,151,151,0,15,136,20,20,,20,0,4,0,4,4,0,195,180,15,22,173,0,0,,0,0,44,44,0,0,44,0,0,,0,0,0,0,0,0,0,374,147,227,265,109,0,0,0,0,0,93,40,53,53,40,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,108,108,0,0,108,442,310,132,75,367,78,37,41,0,78,0,0,,,0,,,,,,,,,,,596,595,1,520,76,0,0,0,0,0,0,0,,,0,9,7,2,0,9,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,7,7,0,0,7,0,0,0,0,0,0,0,,0,0,15,15,0,0,15,623,623,0,559,64,7,0,7,0,7,2345,2302,43,366,1979,33,33,0,0,33,66,66,0,32,34
